,PROVINCIA,MODELO,SERVICIO,COMBUSTIBLE,CLASE,MARCA,TONELAJE,ESTRATONE,ASIENTOS,ESTRASIENTOS
1,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
2,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
3,AZUAY,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
4,ESMERALDAS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
5,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
6,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
7,CA�AR,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
8,GUAYAS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
9,LOS RIOS,2007,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
10,ESMERALDAS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
11,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
12,SANTO DOMINGO,2007,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
13,SUCUMBIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
14,ESMERALDAS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
15,LOS RIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
16,SANTA ELENA,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
17,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
18,LOS RIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
19,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
20,LOS RIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
21,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
22,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
23,ESMERALDAS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
24,SANTO DOMINGO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
25,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
26,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
27,CARCHI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
28,LOS RIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
29,CHIMBORAZO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
30,COTOPAXI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
31,COTOPAXI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
32,CARCHI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
33,LOJA,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
34,CA�AR,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
35,LOJA,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
36,AZUAY,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
37,CA�AR,2007,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
38,AZUAY,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
39,CA�AR,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
40,LOJA,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
41,ORELLANA,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
42,SUCUMBIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
43,SUCUMBIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
44,GUAYAS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
45,LOS RIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
46,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
47,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
48,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
49,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
50,LOS RIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
51,LOS RIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
52,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
53,EL ORO,2007,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
54,GUAYAS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
55,SANTO DOMINGO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
56,LOS RIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
57,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
58,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
59,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
60,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
61,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
62,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
63,LOS RIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
64,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
65,GUAYAS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
66,LOS RIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
67,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
68,GUAYAS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
69,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
70,ESMERALDAS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
71,SUCUMBIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
72,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
73,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
74,SANTO DOMINGO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
75,EL ORO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
76,MORONA SANTIAGO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
77,SANTO DOMINGO,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
78,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
79,MANABI,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
80,LOS RIOS,2006,Particular,Gasolina,Motocicleta,HYUNDAI,NA,NA,1,0 A 10
81,PICHINCHA,2006,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
82,BOLIVAR,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
83,BOLIVAR,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
84,BOLIVAR,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
85,BOLIVAR,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
86,BOLIVAR,2011,Gobiernos Seccionales,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
87,CARCHI,9999,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
88,CARCHI,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
89,CARCHI,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
90,ESMERALDAS,9999,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
91,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
92,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
93,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
94,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
95,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
96,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
97,CARCHI,9999,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
98,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
99,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
100,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
101,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
102,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
103,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
104,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
105,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
106,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
107,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
108,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
109,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
110,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
111,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
112,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
113,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
114,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
115,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
116,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
117,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
118,GUAYAS,2010,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
119,GUAYAS,2010,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
120,GUAYAS,2010,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
121,GUAYAS,2010,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
122,GUAYAS,2010,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
123,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
124,GUAYAS,2010,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
125,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
126,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
127,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
128,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
129,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
130,GUAYAS,2012,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
131,GUAYAS,2008,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
132,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
133,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
134,GUAYAS,2008,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
135,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
136,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
137,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
138,GUAYAS,2010,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
139,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
140,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
141,GUAYAS,2011,Estado,Gasolina,Autom�vil,CHEVROLET,NA,NA,5,0 A 10
